Locality,Dataset,Generalist_0,Low_Specialist_1,Moderate_Specialist_2,High_Specialist_3,Total_Specialists,Total_Species
BBN_A,Pasti Cerven,2,2,7,0,9,11
BBN_B,Pasti Cerven,3,4,6,0,10,13
BHN_A,Pasti Cerven,2,4,5,0,9,11
BHN_B,Pasti Cerven,0,4,1,0,5,5
BZN_A,Pasti Cerven,2,2,2,0,4,6
BZN_B,Pasti Cerven,0,2,6,0,8,8
BRK_A,Pasti Cerven,3,3,5,0,8,11
BRK_B,Pasti Cerven,1,6,2,0,8,9
DVR_A,Pasti Cerven,0,0,0,0,0,0
DVR_B,Pasti Cerven,4,0,3,1,4,8
HLN_A,Pasti Cerven,0,0,0,0,0,0
HLN_B,Pasti Cerven,0,0,0,0,0,0
HVZ_A,Pasti Cerven,4,1,6,1,8,12
HVZ_B,Pasti Cerven,5,3,1,2,6,11
HRD_A,Pasti Cerven,0,2,6,1,9,9
HRD_B,Pasti Cerven,1,5,2,0,7,8
HRC_A,Pasti Cerven,0,0,7,0,7,7
HRC_B,Pasti Cerven,1,4,3,1,8,9
CHV_A,Pasti Cerven,1,5,4,0,9,10
CHV_B,Pasti Cerven,3,5,7,1,13,16
KLS_A,Pasti Cerven,1,5,5,0,10,11
KLS_B,Pasti Cerven,0,1,3,0,4,4
KCD_A,Pasti Cerven,1,2,1,0,3,4
KCD_B,Pasti Cerven,2,6,0,0,6,8
KKL_A,Pasti Cerven,1,1,5,0,6,7
KKL_B,Pasti Cerven,0,4,3,0,7,7
LCL_A,Pasti Cerven,1,4,6,0,10,11
LCL_B,Pasti Cerven,1,5,8,0,13,14
LVJ_A,Pasti Cerven,2,2,2,0,4,6
LVJ_B,Pasti Cerven,0,3,5,0,8,8
NSV_A,Pasti Cerven,1,4,8,0,12,13
NSV_B,Pasti Cerven,0,4,3,0,7,7
OKL_A,Pasti Cerven,1,3,5,0,8,9
OKL_B,Pasti Cerven,0,5,4,0,9,9
NVS_A,Pasti Cerven,1,2,1,0,3,4
NVS_B,Pasti Cerven,0,1,3,0,4,4
PRZ_A,Pasti Cerven,1,4,7,0,11,12
PRZ_B,Pasti Cerven,0,4,6,0,10,10
PKV_A,Pasti Cerven,0,3,9,1,13,13
PKV_B,Pasti Cerven,0,0,0,0,0,0
RTR_A,Pasti Cerven,3,0,2,0,2,5
RTR_B,Pasti Cerven,1,0,0,0,0,1
STR_A,Pasti Cerven,0,1,4,0,5,5
STR_B,Pasti Cerven,2,3,9,2,14,16
SVD_A,Pasti Cerven,2,1,6,0,7,9
SVD_B,Pasti Cerven,0,2,5,0,7,7
SFR_A,Pasti Cerven,2,3,9,0,12,14
SFR_B,Pasti Cerven,3,3,4,0,7,10
VLS_A,Pasti Cerven,1,3,6,0,9,10
VLS_B,Pasti Cerven,1,6,5,0,11,12
VRJ_A,Pasti Cerven,0,6,6,0,12,12
VRJ_B,Pasti Cerven,1,3,0,0,3,4
ZHJ_A,Pasti Cerven,2,2,7,0,9,11
ZHJ_B,Pasti Cerven,2,2,6,0,8,10
ZLM_A,Pasti Cerven,1,1,3,0,4,5
ZLM_B,Pasti Cerven,1,3,0,0,3,4
ZMB_A,Pasti Cerven,0,0,0,0,0,0
ZMB_B,Pasti Cerven,3,2,3,0,5,8
ZMK_A,Pasti Cerven,0,0,0,0,0,0
ZMK_B,Pasti Cerven,0,0,0,0,0,0
BBN_A,Smyk Kveten,5,2,2,0,4,9
BBN_B,Smyk Kveten,4,5,2,0,7,11
BHN_A,Smyk Kveten,4,1,0,0,1,5
BHN_B,Smyk Kveten,3,1,3,0,4,7
BZN_A,Smyk Kveten,2,0,2,0,2,4
BZN_B,Smyk Kveten,4,1,2,0,3,7
BRK_A,Smyk Kveten,2,1,0,0,1,3
BRK_B,Smyk Kveten,5,1,2,0,3,8
DVR_A,Smyk Kveten,2,0,1,0,1,3
DVR_B,Smyk Kveten,4,1,0,0,1,5
HLN_A,Smyk Kveten,6,0,3,0,3,9
HLN_B,Smyk Kveten,1,0,1,0,1,2
HVZ_A,Smyk Kveten,4,2,2,0,4,8
HVZ_B,Smyk Kveten,5,3,0,0,3,8
HRD_A,Smyk Kveten,1,1,3,0,4,5
HRD_B,Smyk Kveten,4,1,3,0,4,8
HRC_A,Smyk Kveten,2,0,1,0,1,3
HRC_B,Smyk Kveten,2,0,1,0,1,3
CHV_A,Smyk Kveten,6,0,2,0,2,8
CHV_B,Smyk Kveten,5,0,1,0,1,6
KLS_A,Smyk Kveten,2,0,0,0,0,2
KLS_B,Smyk Kveten,2,1,0,0,1,3
KCD_A,Smyk Kveten,4,5,1,0,6,10
KCD_B,Smyk Kveten,3,1,1,0,2,5
KKL_A,Smyk Kveten,2,0,1,0,1,3
KKL_B,Smyk Kveten,4,1,4,0,5,9
LCL_A,Smyk Kveten,2,0,1,0,1,3
LCL_B,Smyk Kveten,2,3,1,0,4,6
LVJ_A,Smyk Kveten,3,1,0,0,1,4
LVJ_B,Smyk Kveten,3,3,3,0,6,9
NSV_A,Smyk Kveten,3,0,2,0,2,5
NSV_B,Smyk Kveten,3,0,0,0,0,3
OKL_A,Smyk Kveten,1,0,2,0,2,3
OKL_B,Smyk Kveten,2,0,1,0,1,3
NVS_A,Smyk Kveten,3,1,4,0,5,8
NVS_B,Smyk Kveten,1,0,2,0,2,3
PRZ_A,Smyk Kveten,0,1,3,1,5,5
PRZ_B,Smyk Kveten,0,0,1,0,1,1
PKV_A,Smyk Kveten,4,2,3,0,5,9
PKV_B,Smyk Kveten,4,4,1,0,5,9
RTR_A,Smyk Kveten,2,3,2,0,5,7
RTR_B,Smyk Kveten,6,1,0,0,1,7
STR_A,Smyk Kveten,5,2,1,0,3,8
STR_B,Smyk Kveten,7,2,0,0,2,9
SVD_A,Smyk Kveten,4,1,0,0,1,5
SVD_B,Smyk Kveten,4,1,0,0,1,5
SFR_A,Smyk Kveten,6,4,1,1,6,12
SFR_B,Smyk Kveten,3,1,1,0,2,5
VLS_A,Smyk Kveten,1,0,1,0,1,2
VLS_B,Smyk Kveten,2,0,1,0,1,3
VRJ_A,Smyk Kveten,5,2,1,0,3,8
VRJ_B,Smyk Kveten,1,1,0,0,1,2
ZHJ_A,Smyk Kveten,3,2,1,0,3,6
ZHJ_B,Smyk Kveten,3,3,1,0,4,7
ZLM_A,Smyk Kveten,2,2,2,0,4,6
ZLM_B,Smyk Kveten,2,3,1,0,4,6
ZMB_A,Smyk Kveten,5,3,1,0,4,9
ZMB_B,Smyk Kveten,1,0,1,0,1,2
ZMK_A,Smyk Kveten,10,0,1,0,1,11
ZMK_B,Smyk Kveten,1,3,1,0,4,5
BBN_A,Smyk Cerven,3,0,0,0,0,3
BBN_B,Smyk Cerven,5,0,0,0,0,5
BHN_A,Smyk Cerven,2,1,1,0,2,4
BHN_B,Smyk Cerven,0,0,1,0,1,1
BZN_A,Smyk Cerven,2,1,1,0,2,4
BZN_B,Smyk Cerven,2,2,2,0,4,6
BRK_A,Smyk Cerven,3,1,1,0,2,5
BRK_B,Smyk Cerven,4,2,1,0,3,7
DVR_A,Smyk Cerven,6,1,3,0,4,10
DVR_B,Smyk Cerven,5,0,0,0,0,5
HLN_A,Smyk Cerven,4,0,2,0,2,6
HLN_B,Smyk Cerven,1,1,2,0,3,4
HVZ_A,Smyk Cerven,5,0,0,0,0,5
HVZ_B,Smyk Cerven,4,1,1,0,2,6
HRD_A,Smyk Cerven,5,0,0,0,0,5
HRD_B,Smyk Cerven,4,1,1,0,2,6
HRC_A,Smyk Cerven,4,0,3,0,3,7
HRC_B,Smyk Cerven,1,0,0,0,0,1
CHV_A,Smyk Cerven,4,1,1,0,2,6
CHV_B,Smyk Cerven,4,2,1,0,3,7
KLS_A,Smyk Cerven,4,1,1,0,2,6
KLS_B,Smyk Cerven,1,0,2,0,2,3
KCD_A,Smyk Cerven,8,1,0,0,1,9
KCD_B,Smyk Cerven,2,0,1,0,1,3
KKL_A,Smyk Cerven,3,0,1,0,1,4
KKL_B,Smyk Cerven,6,1,2,0,3,9
LCL_A,Smyk Cerven,2,1,2,0,3,5
LCL_B,Smyk Cerven,1,0,2,0,2,3
LVJ_A,Smyk Cerven,2,1,0,0,1,3
LVJ_B,Smyk Cerven,4,0,2,0,2,6
NSV_A,Smyk Cerven,5,2,1,0,3,8
NSV_B,Smyk Cerven,0,0,0,0,0,0
OKL_A,Smyk Cerven,3,1,0,0,1,4
OKL_B,Smyk Cerven,4,0,1,0,1,5
NVS_A,Smyk Cerven,0,0,0,0,0,0
NVS_B,Smyk Cerven,0,0,0,0,0,0
PRZ_A,Smyk Cerven,0,0,0,0,0,0
PRZ_B,Smyk Cerven,2,0,0,0,0,2
PKV_A,Smyk Cerven,5,0,2,0,2,7
PKV_B,Smyk Cerven,1,1,0,0,1,2
RTR_A,Smyk Cerven,4,0,1,0,1,5
RTR_B,Smyk Cerven,1,1,0,0,1,2
STR_A,Smyk Cerven,2,2,2,0,4,6
STR_B,Smyk Cerven,4,1,1,0,2,6
SVD_A,Smyk Cerven,3,1,1,0,2,5
SVD_B,Smyk Cerven,7,0,2,0,2,9
SFR_A,Smyk Cerven,4,0,0,0,0,4
SFR_B,Smyk Cerven,4,2,0,0,2,6
VLS_A,Smyk Cerven,6,1,2,0,3,9
VLS_B,Smyk Cerven,3,0,1,0,1,4
VRJ_A,Smyk Cerven,3,0,1,0,1,4
VRJ_B,Smyk Cerven,3,2,1,0,3,6
ZHJ_A,Smyk Cerven,4,1,2,0,3,7
ZHJ_B,Smyk Cerven,5,1,1,0,2,7
ZLM_A,Smyk Cerven,6,0,2,0,2,8
ZLM_B,Smyk Cerven,4,2,1,0,3,7
ZMB_A,Smyk Cerven,2,1,1,1,3,5
ZMB_B,Smyk Cerven,1,1,2,0,3,4
ZMK_A,Smyk Cerven,4,1,0,0,1,5
ZMK_B,Smyk Cerven,3,1,0,0,1,4
BBN_A,Pasti Kveten,0,3,6,0,9,9
BBN_B,Pasti Kveten,2,5,4,0,9,11
BHN_A,Pasti Kveten,3,5,5,0,10,13
BHN_B,Pasti Kveten,5,7,7,0,14,19
BZN_A,Pasti Kveten,0,0,2,0,2,2
BZN_B,Pasti Kveten,0,1,5,0,6,6
BRK_A,Pasti Kveten,4,4,4,0,8,12
BRK_B,Pasti Kveten,3,2,3,0,5,8
DVR_A,Pasti Kveten,4,2,5,0,7,11
DVR_B,Pasti Kveten,2,3,5,1,9,11
HLN_A,Pasti Kveten,2,4,6,1,11,13
HLN_B,Pasti Kveten,1,4,3,0,7,8
HVZ_A,Pasti Kveten,4,3,4,1,8,12
HVZ_B,Pasti Kveten,5,8,3,2,13,18
HRD_A,Pasti Kveten,2,5,6,0,11,13
HRD_B,Pasti Kveten,1,4,8,0,12,13
HRC_A,Pasti Kveten,0,3,7,0,10,10
HRC_B,Pasti Kveten,2,2,6,0,8,10
CHV_A,Pasti Kveten,1,5,4,1,10,11
CHV_B,Pasti Kveten,4,7,8,1,16,20
KLS_A,Pasti Kveten,1,4,7,0,11,12
KLS_B,Pasti Kveten,1,5,5,0,10,11
KCD_A,Pasti Kveten,1,5,3,0,8,9
KCD_B,Pasti Kveten,3,6,1,0,7,10
KKL_A,Pasti Kveten,1,5,3,0,8,9
KKL_B,Pasti Kveten,1,3,7,1,11,12
LCL_A,Pasti Kveten,1,4,8,0,12,13
LCL_B,Pasti Kveten,0,3,3,0,6,6
LVJ_A,Pasti Kveten,4,4,7,0,11,15
LVJ_B,Pasti Kveten,0,5,7,0,12,12
NSV_A,Pasti Kveten,1,3,7,0,10,11
NSV_B,Pasti Kveten,1,3,5,0,8,9
OKL_A,Pasti Kveten,2,5,5,0,10,12
OKL_B,Pasti Kveten,1,7,8,0,15,16
NVS_A,Pasti Kveten,2,0,1,0,1,3
NVS_B,Pasti Kveten,0,2,2,0,4,4
PRZ_A,Pasti Kveten,1,3,9,0,12,13
PRZ_B,Pasti Kveten,0,0,5,0,5,5
PKV_A,Pasti Kveten,3,6,6,1,13,16
PKV_B,Pasti Kveten,3,4,3,0,7,10
RTR_A,Pasti Kveten,4,5,2,1,8,12
RTR_B,Pasti Kveten,1,5,2,0,7,8
STR_A,Pasti Kveten,1,2,9,0,11,12
STR_B,Pasti Kveten,2,3,8,0,11,13
SVD_A,Pasti Kveten,3,6,5,0,11,14
SVD_B,Pasti Kveten,2,4,5,0,9,11
SFR_A,Pasti Kveten,1,4,6,0,10,11
SFR_B,Pasti Kveten,1,5,4,0,9,10
VLS_A,Pasti Kveten,1,4,6,0,10,11
VLS_B,Pasti Kveten,3,3,7,0,10,13
VRJ_A,Pasti Kveten,2,6,6,0,12,14
VRJ_B,Pasti Kveten,3,6,1,0,7,10
ZHJ_A,Pasti Kveten,0,3,6,0,9,9
ZHJ_B,Pasti Kveten,0,3,5,0,8,8
ZLM_A,Pasti Kveten,1,3,4,0,7,8
ZLM_B,Pasti Kveten,3,5,2,0,7,10
ZMB_A,Pasti Kveten,3,4,6,0,10,13
ZMB_B,Pasti Kveten,1,0,5,0,5,6
ZMK_A,Pasti Kveten,5,6,4,1,11,16
ZMK_B,Pasti Kveten,6,5,7,1,13,19
BBN_A,All Combined,9,5,10,0,15,24
BBN_B,All Combined,10,11,9,0,20,30
BHN_A,All Combined,8,7,9,0,16,24
BHN_B,All Combined,8,8,10,0,18,26
BZN_A,All Combined,4,3,6,0,9,13
BZN_B,All Combined,5,4,14,0,18,23
BRK_A,All Combined,10,5,6,0,11,21
BRK_B,All Combined,12,9,6,0,15,27
DVR_A,All Combined,10,3,9,0,12,22
DVR_B,All Combined,12,4,6,1,11,23
HLN_A,All Combined,10,4,9,1,14,24
HLN_B,All Combined,3,4,6,0,10,13
HVZ_A,All Combined,12,6,11,1,18,30
HVZ_B,All Combined,17,12,5,2,19,36
HRD_A,All Combined,8,7,12,1,20,28
HRD_B,All Combined,8,9,12,0,21,29
HRC_A,All Combined,6,3,16,0,19,25
HRC_B,All Combined,6,5,7,1,13,19
CHV_A,All Combined,9,9,8,1,18,27
CHV_B,All Combined,12,10,14,1,25,37
KLS_A,All Combined,5,7,9,0,16,21
KLS_B,All Combined,3,6,8,0,14,17
KCD_A,All Combined,14,10,5,0,15,29
KCD_B,All Combined,8,10,2,0,12,20
KKL_A,All Combined,7,6,9,0,15,22
KKL_B,All Combined,10,8,12,1,21,31
LCL_A,All Combined,5,7,14,0,21,26
LCL_B,All Combined,4,8,11,0,19,23
LVJ_A,All Combined,9,6,7,0,13,22
LVJ_B,All Combined,6,9,16,0,25,31
NSV_A,All Combined,9,6,14,0,20,29
NSV_B,All Combined,4,5,7,0,12,16
